sample_id,repo,source_path,strategy,rank,score,source_type,category,guideline_text,query_preview
synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,custom_transformer.py,strategy_1_full_file,1,0.6203207,ruff,documentation_formatting,D105: Missing docstring in magic method. Dunder methods like __repr__ and __eq__ should have docstrings.,"Repository: kannan-dedsec/synthetic-sklearn | File: custom_transformer.py
""""""Custom transformer for removing outliers from a dataset.

This module provides a custom transformer that can be used to identify and
remove outliers from a dataset based on the interq"
synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,custom_transformer.py,strategy_1_full_file,2,0.60370713,pylint,naming_convention,W3201 (bad-dunder-name): Dunder method name is incorrect or not a recognized Python special method name.,"Repository: kannan-dedsec/synthetic-sklearn | File: custom_transformer.py
""""""Custom transformer for removing outliers from a dataset.

This module provides a custom transformer that can be used to identify and
remove outliers from a dataset based on the interq"
synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,custom_transformer.py,strategy_1_full_file,3,0.6007284,ruff,naming_convention,N807: Function name should not start and end with double underscores (__). Dunder names are reserved for Python special methods.,"Repository: kannan-dedsec/synthetic-sklearn | File: custom_transformer.py
""""""Custom transformer for removing outliers from a dataset.

This module provides a custom transformer that can be used to identify and
remove outliers from a dataset based on the interq"
synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,custom_transformer.py,strategy_1_full_file,4,0.5957695,ruff,unused_import,"Be cautious when auto-removing unused imports in __init__.py files, as these may be intentional re-exports that form the module's public API.","Repository: kannan-dedsec/synthetic-sklearn | File: custom_transformer.py
""""""Custom transformer for removing outliers from a dataset.

This module provides a custom transformer that can be used to identify and
remove outliers from a dataset based on the interq"
synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,custom_transformer.py,strategy_1_full_file,5,0.5937929,ruff,mutable_default,"B006 example fix: Instead of 'def func(items=[]):', write 'def func(items=None):' and then 'if items is None: items = []' inside the function body.","Repository: kannan-dedsec/synthetic-sklearn | File: custom_transformer.py
""""""Custom transformer for removing outliers from a dataset.

This module provides a custom transformer that can be used to identify and
remove outliers from a dataset based on the interq"
synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,custom_transformer.py,strategy_1_full_file,6,0.59106624,ruff,documentation_formatting,D402: First line of the docstring should not be the function's signature. Describe the behavior instead.,"Repository: kannan-dedsec/synthetic-sklearn | File: custom_transformer.py
""""""Custom transformer for removing outliers from a dataset.

This module provides a custom transformer that can be used to identify and
remove outliers from a dataset based on the interq"
synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,custom_transformer.py,strategy_1_full_file,7,0.5891223,ruff,mutable_default,"B006: Do not use mutable data structures (list, dict, set) as default argument values. Function defaults are evaluated once at definition time and shared across all calls.","Repository: kannan-dedsec/synthetic-sklearn | File: custom_transformer.py
""""""Custom transformer for removing outliers from a dataset.

This module provides a custom transformer that can be used to identify and
remove outliers from a dataset based on the interq"
synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,custom_transformer.py,strategy_1_full_file,8,0.5838695,ruff,unused_import,"For module availability checks, use importlib.util.find_spec instead of importing the module, to avoid unused import warnings.","Repository: kannan-dedsec/synthetic-sklearn | File: custom_transformer.py
""""""Custom transformer for removing outliers from a dataset.

This module provides a custom transformer that can be used to identify and
remove outliers from a dataset based on the interq"
synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,custom_transformer.py,strategy_1_full_file,9,0.58324504,ruff,documentation_formatting,D417: Missing argument descriptions in the docstring. All function parameters should be documented.,"Repository: kannan-dedsec/synthetic-sklearn | File: custom_transformer.py
""""""Custom transformer for removing outliers from a dataset.

This module provides a custom transformer that can be used to identify and
remove outliers from a dataset based on the interq"
synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,custom_transformer.py,strategy_1_full_file,10,0.5826511,ruff,naming_convention,N815: Variable in class scope should not use mixedCase. Use snake_case instead.,"Repository: kannan-dedsec/synthetic-sklearn | File: custom_transformer.py
""""""Custom transformer for removing outliers from a dataset.

This module provides a custom transformer that can be used to identify and
remove outliers from a dataset based on the interq"
synthetic-django_PR_36,kannan-dedsec/synthetic-django,urls.py,strategy_1_full_file,1,0.6049465,django_guidelines,unused_import,"Modules should not use settings stored in django.conf.settings at the top level, i.e. evaluated when the module is imported.","Repository: kannan-dedsec/synthetic-django | File: urls.py
""""""
Root URL configuration for the Django project.

This module defines the URL routes for the project, including:
- The admin interface
- API endpoints
- Authentication-related views

Namespaces are u"
synthetic-django_PR_36,kannan-dedsec/synthetic-django,urls.py,strategy_1_full_file,2,0.60441077,django_guidelines,unused_import,Use absolute imports for other Django components and a one-dot relative import for local components. Avoid multi-dot relative imports.,"Repository: kannan-dedsec/synthetic-django | File: urls.py
""""""
Root URL configuration for the Django project.

This module defines the URL routes for the project, including:
- The admin interface
- API endpoints
- Authentication-related views

Namespaces are u"
synthetic-django_PR_36,kannan-dedsec/synthetic-django,urls.py,strategy_1_full_file,3,0.6026156,django_guidelines,unused_import,"Put imports in these groups: future, standard library, third-party libraries, other Django components, local Django component, try/excepts.","Repository: kannan-dedsec/synthetic-django | File: urls.py
""""""
Root URL configuration for the Django project.

This module defines the URL routes for the project, including:
- The admin interface
- API endpoints
- Authentication-related views

Namespaces are u"
synthetic-django_PR_36,kannan-dedsec/synthetic-django,urls.py,strategy_1_full_file,4,0.60214895,django_guidelines,unused_import,"Use convenience imports whenever available. For example, import from django.views instead of django.views.generic.base.","Repository: kannan-dedsec/synthetic-django | File: urls.py
""""""
Root URL configuration for the Django project.

This module defines the URL routes for the project, including:
- The admin interface
- API endpoints
- Authentication-related views

Namespaces are u"
synthetic-django_PR_36,kannan-dedsec/synthetic-django,urls.py,strategy_1_full_file,5,0.60214573,ruff,unused_import,"Be cautious when auto-removing unused imports in __init__.py files, as these may be intentional re-exports that form the module's public API.","Repository: kannan-dedsec/synthetic-django | File: urls.py
""""""
Root URL configuration for the Django project.

This module defines the URL routes for the project, including:
- The admin interface
- API endpoints
- Authentication-related views

Namespaces are u"
synthetic-django_PR_36,kannan-dedsec/synthetic-django,urls.py,strategy_1_full_file,6,0.5939949,django_guidelines,documentation_formatting,The project repository includes an .editorconfig file. We recommend using a text editor with EditorConfig support to avoid indentation and whitespace issues.,"Repository: kannan-dedsec/synthetic-django | File: urls.py
""""""
Root URL configuration for the Django project.

This module defines the URL routes for the project, including:
- The admin interface
- API endpoints
- Authentication-related views

Namespaces are u"
synthetic-django_PR_36,kannan-dedsec/synthetic-django,urls.py,strategy_1_full_file,7,0.59357214,django_guidelines,naming_convention,"The order of model inner classes and standard methods should be: all database fields, custom manager attributes, class Meta, __str__ and magic methods, save(), get_absolute_url(), then any custom methods.","Repository: kannan-dedsec/synthetic-django | File: urls.py
""""""
Root URL configuration for the Django project.

This module defines the URL routes for the project, including:
- The admin interface
- API endpoints
- Authentication-related views

Namespaces are u"
synthetic-django_PR_36,kannan-dedsec/synthetic-django,urls.py,strategy_1_full_file,8,0.59018385,django_review_comment,unused_import,It looks like the `json` import on line 11 is not being used anywhere in the file. You can safely remove it to keep the code clean and maintainable.,"Repository: kannan-dedsec/synthetic-django | File: urls.py
""""""
Root URL configuration for the Django project.

This module defines the URL routes for the project, including:
- The admin interface
- API endpoints
- Authentication-related views

Namespaces are u"
synthetic-django_PR_36,kannan-dedsec/synthetic-django,urls.py,strategy_1_full_file,9,0.5850759,ruff,documentation_formatting,D100: Missing docstring in public module. Public modules should have a docstring describing their purpose and exported objects.,"Repository: kannan-dedsec/synthetic-django | File: urls.py
""""""
Root URL configuration for the Django project.

This module defines the URL routes for the project, including:
- The admin interface
- API endpoints
- Authentication-related views

Namespaces are u"
synthetic-django_PR_36,kannan-dedsec/synthetic-django,urls.py,strategy_1_full_file,10,0.58152324,ruff,documentation_formatting,D104: Missing docstring in public package. The __init__.py file of a public package should have a docstring.,"Repository: kannan-dedsec/synthetic-django | File: urls.py
""""""
Root URL configuration for the Django project.

This module defines the URL routes for the project, including:
- The admin interface
- API endpoints
- Authentication-related views

Namespaces are u"
synthetic-django_PR_24,kannan-dedsec/synthetic-django,managers.py,strategy_1_full_file,1,0.65106654,django_review_comment,mutable_default,Using a mutable default argument like `set()` can lead to unexpected behavior since the same set instance will be shared across all calls to `_create_article`. Consider using `None` as the default and initializing a new ,"Repository: kannan-dedsec/synthetic-django | File: managers.py
""""""
Custom QuerySet and Manager for handling published articles.
This module defines a custom QuerySet and Manager to simplify
and enhance queries on the Article model.
""""""

from django.db import m"
synthetic-django_PR_24,kannan-dedsec/synthetic-django,managers.py,strategy_1_full_file,2,0.62810755,django_guidelines,naming_convention,"The order of model inner classes and standard methods should be: all database fields, custom manager attributes, class Meta, __str__ and magic methods, save(), get_absolute_url(), then any custom methods.","Repository: kannan-dedsec/synthetic-django | File: managers.py
""""""
Custom QuerySet and Manager for handling published articles.
This module defines a custom QuerySet and Manager to simplify
and enhance queries on the Article model.
""""""

from django.db import m"
synthetic-django_PR_24,kannan-dedsec/synthetic-django,managers.py,strategy_1_full_file,3,0.61766124,django_review_comment,indentation,"The indentation in the `generate_article_slug` function should be consistent with the rest of the codebase, which uses 4 spaces. Please update it to maintain uniformity throughout the file.","Repository: kannan-dedsec/synthetic-django | File: managers.py
""""""
Custom QuerySet and Manager for handling published articles.
This module defines a custom QuerySet and Manager to simplify
and enhance queries on the Article model.
""""""

from django.db import m"
synthetic-django_PR_24,kannan-dedsec/synthetic-django,managers.py,strategy_1_full_file,4,0.61651087,django_review_comment,indentation,The indentation for the `generate_article_slug` function should be consistent with the rest of the file; please change it back to 4 spaces to maintain clarity and adherence to our coding style.,"Repository: kannan-dedsec/synthetic-django | File: managers.py
""""""
Custom QuerySet and Manager for handling published articles.
This module defines a custom QuerySet and Manager to simplify
and enhance queries on the Article model.
""""""

from django.db import m"
synthetic-django_PR_24,kannan-dedsec/synthetic-django,managers.py,strategy_1_full_file,5,0.6058026,django_review_comment,indentation,Please replace the tabs with spaces in the `handle_article_tags_change` function to maintain consistent indentation throughout the file. This will help improve code readability and prevent potential issues in the future.,"Repository: kannan-dedsec/synthetic-django | File: managers.py
""""""
Custom QuerySet and Manager for handling published articles.
This module defines a custom QuerySet and Manager to simplify
and enhance queries on the Article model.
""""""

from django.db import m"
synthetic-django_PR_24,kannan-dedsec/synthetic-django,managers.py,strategy_1_full_file,6,0.5963961,django_guidelines,unused_import,"Use convenience imports whenever available. For example, import from django.views instead of django.views.generic.base.","Repository: kannan-dedsec/synthetic-django | File: managers.py
""""""
Custom QuerySet and Manager for handling published articles.
This module defines a custom QuerySet and Manager to simplify
and enhance queries on the Article model.
""""""

from django.db import m"
synthetic-django_PR_24,kannan-dedsec/synthetic-django,managers.py,strategy_1_full_file,7,0.5929274,django_review_comment,indentation,It looks like the indentation in the `ArticleForm` class is inconsistent with the rest of the file; please ensure it uses 4 spaces to maintain uniformity across the codebase.,"Repository: kannan-dedsec/synthetic-django | File: managers.py
""""""
Custom QuerySet and Manager for handling published articles.
This module defines a custom QuerySet and Manager to simplify
and enhance queries on the Article model.
""""""

from django.db import m"
synthetic-django_PR_24,kannan-dedsec/synthetic-django,managers.py,strategy_1_full_file,8,0.5852883,django_guidelines,unused_import,"Modules should not use settings stored in django.conf.settings at the top level, i.e. evaluated when the module is imported.","Repository: kannan-dedsec/synthetic-django | File: managers.py
""""""
Custom QuerySet and Manager for handling published articles.
This module defines a custom QuerySet and Manager to simplify
and enhance queries on the Article model.
""""""

from django.db import m"
synthetic-django_PR_24,kannan-dedsec/synthetic-django,managers.py,strategy_1_full_file,9,0.58009934,django_guidelines,unused_import,Use absolute imports for other Django components and a one-dot relative import for local components. Avoid multi-dot relative imports.,"Repository: kannan-dedsec/synthetic-django | File: managers.py
""""""
Custom QuerySet and Manager for handling published articles.
This module defines a custom QuerySet and Manager to simplify
and enhance queries on the Article model.
""""""

from django.db import m"
synthetic-django_PR_24,kannan-dedsec/synthetic-django,managers.py,strategy_1_full_file,10,0.5737797,django_review_comment,mutable_default,Using a mutable default argument like `filters={}` can lead to unexpected behavior due to shared state across function calls. Consider using `None` as the default and initializing `filters` inside the function if itâ€™s ,"Repository: kannan-dedsec/synthetic-django | File: managers.py
""""""
Custom QuerySet and Manager for handling published articles.
This module defines a custom QuerySet and Manager to simplify
and enhance queries on the Article model.
""""""

from django.db import m"
synthetic-sklearn_PR_38,kannan-dedsec/synthetic-sklearn,tests/test_models.py,strategy_1_full_file,1,0.64010787,ruff,unused_import,"For module availability checks, use importlib.util.find_spec instead of importing the module, to avoid unused import warnings.","Repository: kannan-dedsec/synthetic-sklearn | File: tests/test_models.py
import os
import sys
import re
import pytest
from sklearn.datasets import load_iris, load_boston
from sklearn.model_selection import train_test_split
from sklearn.preprocessing import Sta"
